,disc_year,releasedate,pl_name,hostname,discoverymethod,disc_facility,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_insol,pl_eqt,pl_controv_flag,pl_bmasse,soltype,gravity_multiple_of_earths_gravity
15107,2014-01-01,2022-01-10,Kepler-1705 b,Kepler-1705,Transit,Kepler,1,2,9.03502,,2.03,,,0,4.47,Published Confirmed,1.0847145041131794
15108,2021-01-01,2022-01-10,Kepler-1705 c,Kepler-1705,Transit,Kepler,1,2,11.28,,2.05,,,0,5.42,Published Confirmed,1.2897085068411664
15109,2021-01-01,2022-01-10,Kepler-1708 b,Kepler-1708,Transit,Kepler,1,1,737.1131,1.64,9.96,0.56,,0,1462.01067,Published Confirmed,14.737773080272895
15114,2021-01-01,2021-12-05,Kepler-1709 b,Kepler-1709,Transit,Kepler,1,1,65.70459747,,3.124,,,0,,Published Confirmed,
15118,2014-01-01,2014-05-14,Kepler-171 b,Kepler-171,Transit,Kepler,1,3,4.166972,0.05,2.34,,,0,,Published Confirmed,
15135,2014-01-01,2014-05-14,Kepler-171 c,Kepler-171,Transit,Kepler,1,3,11.463462,0.098,2.56,,,0,,Published Confirmed,
15140,2014-01-01,2014-05-14,Kepler-171 d,Kepler-171,Transit,Kepler,1,3,39.595519,0.223,1.89,,,0,,Published Confirmed,
15154,2021-01-01,2021-12-05,Kepler-1710 b,Kepler-1710,Transit,Kepler,1,1,14.91110039,,3.197,,,0,,Published Confirmed,
15161,2021-01-01,2021-12-05,Kepler-1711 b,Kepler-1711,Transit,Kepler,1,1,21.06080055,,1.923,,,0,,Published Confirmed,
15170,2021-01-01,2021-12-05,Kepler-1712 b,Kepler-1712,Transit,Kepler,1,1,13.81499958,,2.284,,,0,,Published Confirmed,
15182,2021-01-01,2021-12-05,Kepler-1713 b,Kepler-1713,Transit,Kepler,1,1,18.01160049,,1.717,,,0,,Published Confirmed,
